{'timestamp': 1683215613.1659937, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.1660352, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.171309, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.1713443, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.1765804, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.1766403, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.1818616, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.1819143, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.1871371, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.1871846, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.192416, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.192471, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.1976972, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.1977322, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.2029827, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.2031546, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.20826, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.2082977, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.2135544, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.2135992, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
{'timestamp': 1683215613.2188277, 'reciever': 'b8:27:eb:ac:05:0f', 'source': '30:4b:07:ed:e3:8f', 'bssid': 'b8:27:eb:ac:05:0f', 'attack_uuid': '95169bfa-116a-4351-aeca-588b5d067ed9'}
